Genus(zh),Genus(la),Family,Feeding,CP,Genus.Average.Mass,Family.Average.Mass
,Longistriata,Heligmosomidae,Animal parasites,,11.763,389.207
,Longistrongylus,Haemonchidae,Animal parasites,,126.315,1360.112
,Loxodontofilaria,Onchocercidae,Animal parasites,,,
,Lubanema,Hystrignathidae,Animal parasites,,229.465,67.62
,Lucionema,Lucionematidae,Animal parasites,,2.663,2.663
,Lukonema,Muspiceidae,Animal parasites,,,
,Maciela,Molineidae,Animal parasites,,,
,Macramphida,Drilonematidae,Animal parasites,,,
,Macropicola,Chabertiidae,Animal parasites,,,
,Macroponema,Chabertiidae,Animal parasites,,850.93,3726.289
,Macropostrongyloides,Chabertiidae,Animal parasites,,3129.949,3726.289
,Macropostrongylus,Chabertiidae,Animal parasites,,,
,Macrostrongylus,Heligmonellidae,Animal parasites,,6192.324,360.479
,Macuahuitloides,Molineidae,Animal parasites,,,
,Madafilaroides,Angiostrongylidae,Animal parasites,,,
,Madangiostrongylus,Angiostrongylidae,Animal parasites,,,
,Mainspinostrongylus,Molineidae,Animal parasites,,,
,Malaistrongylus,Heligmonellidae,Animal parasites,,,
,Malaspinanema,Thelastomatidae,Animal parasites,,,
,Malayocamallanus,Camallanidae,Animal parasites,,,
,Malayometastrongylus,Angiostrongylidae,Animal parasites,,,
,Malvinema,Heligmonellidae,Animal parasites,,,
,Malvinia,Ungellidae,Animal parasites,,3.147,13.088
,Mammaidula,Heligmonellidae,Animal parasites,,,
,Mammomonogamus,Syngamidae,Animal parasites,,,
,Mansonella,Onchocercidae,Animal parasites,,,
,Mariostrongylus,Protosrongylidae,Animal parasites,,,
,Marshallagia,Haemonchidae,Animal parasites,,,
,Marsupostrongylus,Angiostrongylidae,Animal parasites,,74.083,994.307
,Maseria,Muspiceidae,Animal parasites,,,
,Mastophorus,Spirocercidae,Animal parasites,,,
,Maupasina,Maupasinidae,Animal parasites,,,
,Mawsonema,Heligmonellidae,Animal parasites,,,
,Maxomystrongylus,Heligmonellidae,Animal parasites,,3.636,360.479
,Maxvachonia, Cosmocercidae,Animal parasites,,4254.527,871.917
,Mazamastrongylus,Haemonchidae,Animal parasites,,,
,Mbaisonema,Chabertiidae,Animal parasites,,,
,Mbanema,Drilonematidae,Animal parasites,,,
,Mecistocirrus,Haemonchidae,Animal parasites,,,
,Megacooperia,Cooperiidae,Animal parasites,,,
,Megalobatrachonema,Kathlaniidae,Animal parasites,,3089.932,2239.415
,Mehdinema,Mehdinematidae,Animal parasites,,,
,Melolonthinimermis,Mermithidae,Animal parasites,,,
,Melomystrongylus,Heligmonellidae,Animal parasites,,,
,Mentecle,Hystrignathidae,Animal parasites,,,
,Mermis ,Mermithidae,Animal parasites,,,
,Mertensinema,Molineidae,Animal parasites,,,
,Mesamidostomum,Trichostrongylidae,Animal parasites,,,
,Mesidionema,Mesidionematidae,Animal parasites,,,
,Mesomermis,Mermithidae,Animal parasites,,,
,Mesonema,Drilonematidae,Animal parasites,,,
,Metaparasitylenchus,Allantonematidae,Animal parasites,,,
,Metastrongylus,Metastrongylidae,Animal parasites,,619.578,619.578
,Metathelazia,Pneumospiruridae,Animal parasites,,,
,Meteterakis,Heterakidae,Animal parasites,,,
,Metheligmonella,Heligmonellidae,Animal parasites,,,
,Mexiconema,Daniconematidae,Animal parasites,,,
,Microhadejia,Tetrameridae,Animal parasites,,,
,Micropleura,Micropleuridae,Animal parasites,,,
,Microtetrameres,Tetrameridae,Animal parasites,,,
,Minutostrongylus,Cooperiidae,Animal parasites,,,
,Mirzaiella,Travassosinematidae,Animal parasites,,,
,Moaciria,Heterakidae,Animal parasites,,,
,Moennigia,Molineidae,Animal parasites,,,
,Moguranema,Molineidae,Animal parasites,,,
,Molineus,Molineidae,Animal parasites,,13.613,757.114
,Molinostrongylus,Molineidae,Animal parasites,,,
,Molnaria,Skrjabillanidae,Animal parasites,,,
,Monhysterides,Atractidae,Animal parasites,,,
,Monilonema,Chabertiidae,Animal parasites,,,
,Monodontella,Ancylostomatidae,Animal parasites,,,
,Mooleptus,Gnathostomatidae,Animal parasites,,,
,Moravecia,Guyanemidae,Animal parasites,,,
,Morgascaridia,Schneidernematidae,Animal parasites,,,
,Muellerius,Protosrongylidae,Animal parasites,,26.483,759.052
,Multicaecum,Heterocheilidae,Animal parasites,,6279.515,246831.767
,Murielus,Molineidae,Animal parasites,,,
,Murshidia,Strongylidae,Animal parasites,,,
,Muspicea,Muspiceidae,Animal parasites,,,
,Myenchus,Myenchidae,Animal parasites,,,
,Myleusnema,Kathlaniidae,Animal parasites,,,
,Myoryctes,Myenchidae,Animal parasites,,,
,Myrmeconema,Tetradonematidae,Animal parasites,,,
,Narsingiella,Aspidoderidae,Animal parasites,,,
,Nasistrongylus,Herpetostrongylidae,Animal parasites,,,
,Necator,Ancylostomatidae,Animal parasites,,,
,Nemanoke,Mesidionematidae,Animal parasites,,60.863,60.863
,Nematodirella,Molineidae,Animal parasites,,,
,Nematodiroides,Molineidae,Animal parasites,,,
,Nematodirus,Molineidae,Animal parasites,,2661.531,757.114
,Nematomystes,Aspidoderidae,Animal parasites,,,
,Nemhelix,Cosmocercidae,Animal parasites,,,
,Neocamallanus,Camallanidae,Animal parasites,,,
,Neocooperia,Trichostrongylidae,Animal parasites,,,
,Neocucullanus,Cucullanidae,Animal parasites,,4471.074,2404.157
,Neoentomelas,Rhabdiasidae,Animal parasites,,,
,Neoheligmonella,Heligmonellidae,Animal parasites,,,
,Neohilgertia,Oxyuridae,Animal parasites,,,
,Neomolineus,Molineidae,Animal parasites,,78.047,757.114
,Neomurshidia,Strongylidae,Animal parasites,,,
,Neoomeia,Quimperiidae,Animal parasites,,,
,Neoparaseuratum,Quimperiidae,Animal parasites,,,
,Neoparasitylenchus,Allantonematidae,Animal parasites,,,
,Neophilometroides,Philometridae,Animal parasites,,,
,Neoraillietnema,Cosmocercidae,Animal parasites,,,
,Neorhabditostomum,Chabertiidae,Animal parasites,,,
,Neostrongyloides,Dioctophymatidae,Animal parasites,,,
,Neostrongylus,Protosrongylidae,Animal parasites,,,
,Neoterranova,Anisakidae,Animal parasites,,245392.333,51504.243
,Nesomystrongylus,Heligmonellidae,Animal parasites,,,
,Nicollina,Nicollinidae,Animal parasites,,33.672,23.271
,Nilonema,Philometridae,Animal parasites,,,
,Nippostrongylus,Heligmonellidae,Animal parasites,,43.668,360.479
,Nochtia,Molineidae,Animal parasites,,,
,Nouvelnema,Atractidae,Animal parasites,,,
,Nycteridostrongylus,Molineidae,Animal parasites,,110.811,757.114
,Obainia,Rhigonematidae,Animal parasites,,,
,Obeliscoides,Cooperiidae,Animal parasites,,,
,Oceanicucullanus,Cucullanidae,Animal parasites,,1762.455,2404.157
,Octomyomermis,Mermithidae,Animal parasites,,,
,Odilia,Heligmonellidae,Animal parasites,,62.23,360.479
,Oesophagodontus,Strongylidae,Animal parasites,,,
,Oesophagostomoides,Chabertiidae,Animal parasites,,,
,Oesophagostomum,Chabertiidae,Animal parasites,,1952.756,3726.289
,Ohbayashinema,Heligmosomidae,Animal parasites,,,
,Okapistrongylus,Chabertiidae,Animal parasites,,,
,Ollulanus,Molineidae,Animal parasites,,,
,Onchocerca,Onchocercidae,Animal parasites,,34123.303,24238.879
,Oncophora,Camallanidae,Animal parasites,,,
,Onychonema,Ungellidae,Animal parasites,,,
,Ophidascaris,Ascarididae,Animal parasites,,100983.538,1328679.075
,Orientatractis,Atractidae,Animal parasites,,26.721,187.652
,Orientostrongylus,Heligmonellidae,Animal parasites,,,
,Orloffia,Haemonchidae,Animal parasites,,,
,Ornithofilaria,Onchocercidae,Animal parasites,,,
,Ornithonema,Ornithostrongylidae,Animal parasites,,,
,Ornithostrongylus,Ornithostrongylidae,Animal parasites,,174.203,174.203
,Orthostrongylus,Protosrongylidae,Animal parasites,,,
,Ortleppascaris,Heterocheilidae,Animal parasites,,,
,Ortleppstrongylus,Molineidae,Animal parasites,,,
,Oryctophila,Thelastomatidae,Animal parasites,,,
,Oslerus,Filaroididae,Animal parasites,,1583.415,431.316
,Ostertagia,Haemonchidae,Animal parasites,,675,1360.112
,Oswaldocruzia,Molineidae,Animal parasites,,,
,Oswaldofilaria,Oswaldofilariidae,Animal parasites,,1826.172,1826.172
,Oswaldonema,Viannaiidae,Animal parasites,,,
,Oswaldostrongylus,Ornithostrongylidae,Animal parasites,,,
,Otostrongylus,Crenosomatidae,Animal parasites,,,
,Ovomermis ,Mermithidae,Animal parasites,,,
,Oxysomatium,Cosmocercidae,Animal parasites,,,
,Oxyspirura,Thelaziidae,Animal parasites,,746.369,9768.474
,Oxyuris,Oxyuridae,Animal parasites,,5594.379,863.815
,Paleothelastoma,Thelastomatidae,Animal parasites,,,
,Pancreatonema,Rhabdochonidae,Animal parasites,,,
,Papillabrum,Hystrignathidae,Animal parasites,,,
,Papillostrongylus,Chabertiidae,Animal parasites,,,
,Papuastrongylus,Herpetostrongylidae,Animal parasites,,,
,Parabronema,Habronematidae,Animal parasites,,9499.811,3692.59
,Parabronetna,Spiruridae,Animal parasites,,,
,Paracamallanus,Camallanidae,Animal parasites,,221.506,2996.315
,Paracameronia,Thelastomatidae,Animal parasites,,,
,Paracooperia,Cooperiidae,Animal parasites,,,
,Paracooperioides,Cooperiidae,Animal parasites,,,
,Paracrenosoma,Crenosomatidae,Animal parasites,,,
,Paracuaria,Acuariidae,Animal parasites,,,
,Paracucullanellus,Cucullanidae,Animal parasites,,,
,Paradeletrocephalus,Deletrocephalidae,Animal parasites,,,
,Paradicelis,Drilonematidae,Animal parasites,,,
,Paradujardinia,Heterocheilidae,Animal parasites,,618549.241,246831.767
,Parafilaria,Filariidae,Animal parasites,,9201.331,12339.818
,Parafilaroides,Filaroididae,Animal parasites,,350.711,431.316
,Paragendria,Quimperiidae,Animal parasites,,38.465,49.987
,Paragletylenchus,Parasitylenchidae,Animal parasites,,,
,Paragraphidium,Molineidae,Animal parasites,,,
,Paraheligmonella,Heligmonellidae,Animal parasites,,,
,Paraheligmonelloides,Heligmonellidae,Animal parasites,,,
,Paraheligmonina,Heligmonellidae,Animal parasites,,,
,Paraheterotyphilum,Heterocheilidae,Animal parasites,,,
,Parahistiostrongylus,Molineidae,Animal parasites,,,
,Paraichthyocephalus,Ichthyocephalidae,Animal parasites,,,
,Paraiotonchium,Iotonchiidae,Animal parasites,,,
,Paralabiostrongylus,Chabertiidae,Animal parasites,,,
,Paralepidonema,Hystrignathidae,Animal parasites,,,
,Paraleptus,Physalopteridae,Animal parasites,,,
,Paralibyostrongylus,Cooperiidae,Animal parasites,,,
,Paramacropostrongylus,Chabertiidae,Animal parasites,,,
,Paramidostomum,Trichostrongylidae,Animal parasites,,,
,Paraorientatractis,Atractidae,Animal parasites,,,
,Parapharyngodon,Pharyngodonidae,Animal parasites,,1100.446,568.973
,Parapharyngostrongylus,Chabertiidae,Animal parasites,,,
,Paraphilometroides,Philometridae,Animal parasites,,,
,Parapoteriostomum,Strongylidae,Animal parasites,,,
,Paraquimperia,Quimperiidae,Animal parasites,,,
,Pararhabdonema,Cooperiidae,Animal parasites,,,
,Pararugopharynx,Chabertiidae,Animal parasites,,,
,Parasabanema,Heligmonellidae,Animal parasites,,11.558,360.479
,Parascaris,Ascarididae,Animal parasites,,4225100.779,1328679.075
,Paraseuratum,Quimperiidae,Animal parasites,,,
,Parasitylenchoides,Allantonematidae,Animal parasites,,,
,Parasitylenchus,Allantonematidae,Animal parasites,,2.157,46.474
,Paraspidodera,Aspidoderidae,Animal parasites,,,
,Paraspiralatus,Spirocercidae,Animal parasites,,,
,Parastrongyloides,Strongyloididae,Animal parasites,,3.26,10.314
,Parastrongylus,Angiostrongylidae,Animal parasites,,,
,Parathelandros,Oxyuridae,Animal parasites,,,
,Paratractis,Atractidae,Animal parasites,,256.573,187.652
,Paratrichosoma,Trichosomoididae,Animal parasites,,,
,Paraustrostrongylus,Herpetostrongylidae,Animal parasites,,,
,Parazoniolaimus,Chabertiidae,Animal parasites,,40679.138,3726.289
,Parelaphostrongylus,Protosrongylidae,Animal parasites,,,
,Parhadjelia,Habronematidae,Animal parasites,,,
,Paronchocerca,Oswaldofilariidae,Animal parasites,,,
,Parostertagia,Trichostrongylidae,Animal parasites,,,
,Passalidophila,Hystrignathidae,Animal parasites,,,
,Passalurus,Oxyuridae,Animal parasites,,,
,Passeristrongylus,Ornithostrongylidae,Animal parasites,,,
,Patagoniella,Ungellidae,Animal parasites,,1.34,13.088
,Patricialina,Herpetostrongylidae,Animal parasites,,,
,Pearsonema,Capillariidae,Animal parasites,,,
,Pelicitus,Onchocercidae,Animal parasites,,,
,Pennisia,Muspiceidae,Animal parasites,,,
,Peramelistrongylus,Trichostrongylidae,Animal parasites,,,
,Peritrachelius,Anisakidae,Animal parasites,,,
,Perodira,Homungellidae,Animal parasites,,,
,Petrovinema,Strongylidae,Animal parasites,,,
,Phacochoerostrongylus,Chabertiidae,Animal parasites,,,
,Phalacronema,Hystrignathidae,Animal parasites,,,
,Pharurus,Pseudaliidae,Animal parasites,,,
,Pharyngodon,Pharyngodonidae,Animal parasites,,233.867,568.973
,Pharyngonema,Drilonematidae,Animal parasites,,,
,Pharyngostrongylus,Chabertiidae,Animal parasites,,,
,Phascolostrongylus,Chabertiidae,Animal parasites,,,
,Philometra,Philometridae,Animal parasites,,87122.718,91031.098
,Philometroides,Philometridae,Animal parasites,,26231.878,91031.098
,Philonema,Dracunculidae,Animal parasites,,,
,Phocascaris,Anisakidae,Animal parasites,,,
,Physaloptera,Physalopteridae,Animal parasites,,38193.241,18886.119
,Physalopteroides,Physalopteridae,Animal parasites,,,
,Physocephalus,Spirocercidae,Animal parasites,,,
,Pingus,Quimperiidae,Animal parasites,,61.509,49.987
,Piscicapillaria,Capillariidae,Animal parasites,,,
,Pithecostrongylus,Molineidae,Animal parasites,,,
,Placentonema,Tetrameridae,Animal parasites,,1758906801,1758906801
,Plesioungella,Ungellidae,Animal parasites,,,
,Plutellonema,Drilonematidae,Animal parasites,,,
,Pneumoatractis,Atractidae,Animal parasites,,8.729,187.652
,Pneumocaulus,Protosrongylidae,Animal parasites,,,
,Pneumonema,Rhabdiasidae,Animal parasites,,,
,Pneumospiruria,Pneumospiruridae,Animal parasites,,,
,Pneumostrongylus,Protosrongylidae,Animal parasites,,,
,Podocnematractis,Atractidae,Animal parasites,,,
,Poekilostrongylus,Molineidae,Animal parasites,,,
,Pongogius,Oxyuridae,Animal parasites,,,
,Popovastrongylus,Chabertiidae,Animal parasites,,,
,Porrocaecum,Heterocheilidae,Animal parasites,,229427.484,246831.767
,Poteriostomum,Strongylidae,Animal parasites,,,
,Potorostrongylus,Chabertiidae,Animal parasites,,,
,Potoroxyuris,Oxyuridae,Animal parasites,,,
,Pratinema,Allantonematidae,Animal parasites,,,
,Prestwoodia,Crenosomatidae,Animal parasites,,,
,Proatractis,Atractidae,Animal parasites,,,
,Probstmayria,Atractidae,Animal parasites,,15.22,187.652
,Procamallanus,Camallanidae,Animal parasites,,5490.481,2996.315
,Procyonostrongylus,Angiostrongylidae,Animal parasites,,1946.88,994.307
,Procyrnea,Habronematidae,Animal parasites,,2027.698,3692.59
,Profilarinema,Trichostrongylidae,Animal parasites,,,
,Proleptus,Physalopteridae,Animal parasites,,20716.519,18886.119
,Proparasitylenchus,Allantonematidae,Animal parasites,,,
,Propharyngodon,Thelastomatidae,Animal parasites,,,
,Prosungulonema,Rhabdochonidae,Animal parasites,,,
,Protospirura,Spiruridae,Animal parasites,,35402.5,13920.561
,Protostrongylus,Protosrongylidae,Animal parasites,,1491.62,759.052
,Protrellus,Thelastomatidae,Animal parasites,,82.228,235.402
,Protylenchus,Allantonematidae,Animal parasites,,,
,Psammomermis,Mermithidae,Animal parasites,,,
,Pseudabbreviata,Physalopteridae,Animal parasites,,,
,Pseudalius,Pseudaliidae,Animal parasites,,,
,Pseudamidostomum,Trichostrongylidae,Animal parasites,,,
,Pseudaprocta,Aproctidae,Animal parasites,,,
,Pseudocapillaria,Capillariidae,Animal parasites,,,
,Pseudocapillaroides,Capillariidae,Animal parasites,,,
,Pseudodelphis,Guyanemidae,Animal parasites,,7396.095,3143.404
,Pseudodesmicola,Thelastomatidae,Animal parasites,,10.872,235.402
,Pseudoheligmosomum,Heligmonellidae,Animal parasites,,,
,Pseudophilometroides,Dracunculidae,Animal parasites,,,
,Pseudophysaloptera,Physalopteridae,Animal parasites,,,
,Pseudoproleptus,Cystidicolidae,Animal parasites,,,
,Pseudorictularia,Physalopteridae,Animal parasites,,,
,Pseudospinura,Seuratidae,Animal parasites,,,
,Pseudostertagia,Cooperiidae,Animal parasites,,,
,Pseudoterranova,Anisakidae,Animal parasites,,,
,Pseudoxyo,Hystrignathidae,Animal parasites,,85.146,67.62
,Psyllotylenchus,Parasitylenchidae,Animal parasites,,,
,Pterygodermatites,Rictulariidae,Animal parasites,,,
,Pudica,Heligmonellidae,Animal parasites,,,
,Pulchrascaris,Anisakidae,Animal parasites,,,
,Pulmostrongylus,Angiostrongylidae,Animal parasites,,,
,Punctocamallanus,Camallanidae,Animal parasites,,,
,Quasiamidostomum,Trichostrongylidae,Animal parasites,,238.253,88.593
,Quentinstrongylus,Heligmonellidae,Animal parasites,,,
,Quilonia,Strongylidae,Animal parasites,,,
,Rabbium,Seuratidae,Animal parasites,,,
,Ragenema,Molineidae,Animal parasites,,,
,Raillietnema,Cosmocercidae,Animal parasites,,79.64,871.917
,Ransomnema,Ransomnematidae,Animal parasites,,,
,Ransomus,Chabertiidae,Animal parasites,,,
,Raonema,Carnoyidae,Animal parasites,,,
,Raphidascaris,Raphidascarididae,Animal parasites,,4532.009,11457.278
,Raphidascaroides,Raphidascarididae,Animal parasites,,65143.993,11457.278
,Rasheedia,Physalopteridae,Animal parasites,,,
,Rattustrongylus,Heligmonellidae,Animal parasites,,,
,Rauschia,Molineidae,Animal parasites,,,
,Rauschivyngylus,Angiostrongylidae,Animal parasites,,,
,Rauschtineria,Oxyuridae,Animal parasites,,,
,Rhabdias,Rhabdiasidae,Animal parasites,,,
,Rhabditostomum,Chabertiidae,Animal parasites,,,
,Rhabdochona,Rhabdochonidae,Animal parasites,,353.999,353.999
,Rhigonema,Rhigonematidae,Animal parasites,,968.52,968.52
,Rhinobothrium,Gnathostomatidae,Animal parasites,,,
,Rhinoceronema,Atractidae,Animal parasites,,4.144,187.652
,Rhinoclemmysnema,Atractidae,Animal parasites,,,
,Rictularia,Rictulariidae,Animal parasites,,,
,Riouxgolvania,Muspiceidae,Animal parasites,,,
,Robertdollfusa,Robertdollfusidae,Animal parasites,,,
,Robertia,Thelastomatidae,Animal parasites,,,
,Robustostrongylus,Haemonchidae,Animal parasites,,456.909,1360.112
,Rodentocaulus,Angiostrongylidae,Animal parasites,,,
,Rodentogamus,Syngamidae,Animal parasites,,,
,Romanomermis,Mermithidae,Animal parasites,,,
,Rondonema,Carnoyidae,Animal parasites,,,
,Rondonia,Atractidae,Animal parasites,,178.366,187.652
,Royandersonia,Pharyngodonidae,Animal parasites,,,
,Rugonema,Chabertiidae,Animal parasites,,,
,Rugopharynx,Chabertiidae,Animal parasites,,1150.539,3726.289
,Rugostrongylus,Chabertiidae,Animal parasites,,,
,Rumai,Philometridae,Animal parasites,,,
,Sabanema,Heligmonellidae,Animal parasites,,,
,Sahaynema,Trichostrongylidae,Animal parasites,,,
,Salesia,Hystrignathidae,Animal parasites,,,
,Sarconema,Onchocercidae,Animal parasites,,,
,Sarwaria,Haemonchidae,Animal parasites,,,
,Sauricola,Strongylidae,Animal parasites,,,
,Scatonema,Allantonematidae,Animal parasites,,,
,Schiurodendrium,Heligmonellidae,Animal parasites,,,
,Schneidernema,Schneidernematidae,Animal parasites,,,
,Schrankiana,Atractidae,Animal parasites,,87.887,187.652
,Schulmanela,Capillariidae,Animal parasites,,,
,Schulzia,Molineidae,Animal parasites,,,
,Schulzinema,Chabertiidae,Animal parasites,,,
,Schwenkiella,Thelastomatidae,Animal parasites,,94.051,235.402
,Sciuricola,Heligmonellidae,Animal parasites,,,
,Sciurodendrium,Heligmonellidae,Animal parasites,,,
,Serpentirhabdias,Rhabdiasidae,Animal parasites,,,
,Serpinema,Camallanidae,Animal parasites,,1431.639,2996.315
,Setaria,Onchocercidae,Animal parasites,,15091.993,24238.879
,Seuratum,Seuratidae,Animal parasites,,,
,Severianoia,Thelastomatidae,Animal parasites,,23.937,235.402
,Shattukius,Molineidae,Animal parasites,,,
,Shikhobalovia,Trichostrongylidae,Animal parasites,,,
,Sicarius,Habronematidae,Animal parasites,,,
,Siconema,Ungellidae,Animal parasites,,25.167,13.088
,Siconemoides,Ungellidae,Animal parasites,,,
,Sinoichthyonema,Skrjabillanidae,Animal parasites,,,
,Sinospinata,Hystrignathidae,Animal parasites,,38.872,67.62
,Skarbilovinema,Iotonchiidae,Animal parasites,,,
,Skrjabillanus,Skrjabillanidae,Animal parasites,,1.495,1.495
,Skrjabinalius,Pseudaliidae,Animal parasites,,,
,Skrjabinelazia,Seuratidae,Animal parasites,,,
,Skrjabinema,Oxyuridae,Animal parasites,,,
,Skrjabingylus,Skrjabingylidae,Animal parasites,,,
,Skrjabinisakis,Anisakidae,Animal parasites,,,
,Skrjabinocaulus,Protosrongylidae,Animal parasites,,,
,Skrjabinocercella,Desmidocercidae,Animal parasites,,,
,Skrjabinodentus,Strongylidae,Animal parasites,,,
,Skrjabinodon,Pharyngodonidae,Animal parasites,,,
,Skrjabinomermis,Mermithidae,Animal parasites,,2500.387,7216.208
,Skrjabinura,Seuratidae,Animal parasites,,,
,Soaresnema,Hystrignathidae,Animal parasites,,,
,Sobolevingylus,Angiostrongylidae,Animal parasites,,,
,Soboliphyme,Soboliphymatidae,Animal parasites,,,
,Spalacina,Heligmonellidae,Animal parasites,,,
,Spauligodon,Pharyngodonidae,Animal parasites,,0.708,568.973
,Spectatus,Kathlaniidae,Animal parasites,,,
,Spiculimermis,Mermithidae,Animal parasites,,,
,Spiculocaulus,Protosrongylidae,Animal parasites,,,
,Spiculopteragia,Haemonchidae,Animal parasites,,,
,Spilotylenchus,Parasitylenchidae,Animal parasites,,14.61,14.61
,Spimtectus,Hedruridae,Animal parasites,,,
,Spinicauda,Heterakidae,Animal parasites,,,
,Spinitectus,Cystidicolidae,Animal parasites,,1073.169,562.575
,Spinodiplotriaena,Diplotriaenidae,Animal parasites,,,
,Spinostrongylus,Molineidae,Animal parasites,,,
,Spirobakerus,Spirocercidae,Animal parasites,,,
,Spirocamallanoides,Camallanidae,Animal parasites,,,
,Spirocamallanus,Camallanidae,Animal parasites,,3501.906,2996.315
,Spirocerca,Thelaziidae,Animal parasites,,55379.688,9768.474
,Spironoura,Kathlaniidae,Animal parasites,,,
,Spirophilometra,Philometridae,Animal parasites,,,
,Spirostrongylus,Chabertiidae,Animal parasites,,,
,Spiroxys,Gnathostomatidae,Animal parasites,,2407.077,10755.868
,Spirura,Spiruridae,Animal parasites,,3179.591,13920.561
,Spratellus,Mackerrastrongylidae,Animal parasites,,,
,Sprentia,Hystrignathidae,Animal parasites,,,
,Squamofilaria,Aproctidae,Animal parasites,,9434.472,9434.472
,Srivastavanema,Heligmonellidae,Animal parasites,,1243.159,360.479
,Stauratostoma,Thelastomatidae,Animal parasites,,,
,Stefanskostrongylus,Angiostrongylidae,Animal parasites,,,
,Steinertetanonema,Tetanonematidae,Animal parasites,,,
,Stelmioides,Cucullanidae,Animal parasites,,,
,Stenuroides,Pseudaliidae,Animal parasites,,,
,Stenurus,Pseudaliidae,Animal parasites,,,
,Stephanofilaria,Filariidae,Animal parasites,,,
,Stephanurus,Syngamidae,Animal parasites,,75715.618,51051.297
,Stilestrongylus,Heligmonellidae,Animal parasites,,,
,Strelkovimermis,Mermithidae,Animal parasites,,,
,Strongylacantha,Strongylacanthidae,Animal parasites,,,
,Strongyloides,Strongyloididae,Animal parasites,,15.016,10.314
,Strongyluris,Heterakidae,Animal parasites,,,
,Strongylus,Strongylidae,Animal parasites,,76769.954,40735.171
,Subulura,Subuluridae,Animal parasites,,,
,Sucamphida,Ungellidae,Animal parasites,,,
,Suifilaria,Filariidae,Animal parasites,,,
,Suifunema,Thelastomatidae,Animal parasites,,288.19,235.402
,Sulcascaris,Anisakidae,Animal parasites,,,
,Sulphuritylenchus,Allantonematidae,Animal parasites,,,
,Suncinema,Heligmosomidae,Animal parasites,,6.25,389.207
,Sutarostrongylus,Herpetostrongylidae,Animal parasites,,,
,Suttonema,Heligmonellidae,Animal parasites,,,
,Syncuaria,Acuariidae,Animal parasites,,908.322,576.886
,Syngamus,Syngamidae,Animal parasites,,1722.656,51051.297
,Synhimantus,Acuariidae,Animal parasites,,150.707,576.886
,Synodontisia,Pharyngodonidae,Animal parasites,,226.719,568.973
,Synoecnema,Ungellidae,Animal parasites,,1.953,13.088
,Syphabulea,Oxyuridae,Animal parasites,,,
,Syphacia,Oxyuridae,Animal parasites,,187.486,863.815
,Syphaciella,Heteroxynematidae,Animal parasites,,,
,Sypharista,Oxyuridae,Animal parasites,,,
,Tachygonetria,Pharyngodonidae,Animal parasites,,537.264,568.973
,Tachynema,Mackerrastrongylidae,Animal parasites,,,
,Tadaridanema,Molineidae,Animal parasites,,39.677,757.114
,Tanqua,Gnathostomatidae,Animal parasites,,11935.298,10755.868
,Tapironema,Cooperiidae,Animal parasites,,,
,Tasmanema,Mackerrastrongylidae,Animal parasites,,,
,Teladorsagia,Haemonchidae,Animal parasites,,,
,Tenoranema,Capillariidae,Animal parasites,,,
,Teporingonema,Cooperiidae,Animal parasites,,,
,Ternidens,Chabertiidae,Animal parasites,,,
,Terranova,Anisakidae,Animal parasites,,,
,Tethystrongylus,Chabertiidae,Animal parasites,,,
,Tetleyus,Thelastomatidae,Animal parasites,,,
,Tetrabothiostrongylus,Mackerrastrongylidae,Animal parasites,,,
,Tetradonema,Tetradonematidae,Animal parasites,,37.871,37.871
,Tetrameres,Tetrameridae,Animal parasites,,,
,Thainema,Ungellidae,Animal parasites,,,
,Thaistrongylus,Angiostrongylidae,Animal parasites,,,
,Thaliostonema,Chabertiidae,Animal parasites,,,
,Thaumamermis,Mermithidae,Animal parasites,,,
,Theileriana,Strongylidae,Animal parasites,,,
,Thelandros,Oxyuridae,Animal parasites,,722.26,863.815
,Thelastoma,Thelastomatidae,Animal parasites,,79.989,235.402
,Thelazia,Thelaziidae,Animal parasites,,2450.652,9768.474
,Thripinema,Allantonematidae,Animal parasites,,,
,Thubunaea,Physalopteridae,Animal parasites,,4982.409,18886.119
,Thylonema,Chabertiidae,Animal parasites,,,
,Thylostrongylus,Chabertiidae,Animal parasites,,,
,Timmungella,Ungellidae,Animal parasites,,,
,Tlacuatzoxyuris,Oxyuridae,Animal parasites,,,
,Tonoscolecinema,Drilonematidae,Animal parasites,,0.502,15.394
,Torquenema,Chabertiidae,Animal parasites,,11286.939,3726.289
,Torrestrongylus,Molineidae,Animal parasites,,,
,Torynurus,Pseudaliidae,Animal parasites,,,
,Touzeta,Quimperiidae,Animal parasites,,,
,Toxascaris,Ascarididae,Animal parasites,,193861.496,1328679.075
,Toxocara,Ascarididae,Animal parasites,,469311.523,1328679.075
,Trachypharynx,Chabertiidae,Animal parasites,,,
,Trakiosia,Thelastomatidae,Animal parasites,,,
,Travnema,Pharyngodonidae,Animal parasites,,,
,Travassosinema,Travassosinematidae,Animal parasites,,,
,Travassosnema,Guyanemidae,Animal parasites,,242.412,3143.404
,Travassosius,Trichostrongylidae,Animal parasites,,,
,Travassostrongylus,Viannaiidae,Animal parasites,,,
,Trichinella,Trichinellidae,Animal parasites,,7.875,7.875
,Trichochenia,Molineidae,Animal parasites,,,
,Trichofreitasia,Heligmonellidae,Animal parasites,,,
,Trichohelix,Molineidae,Animal parasites,,,
